regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados
Norte,RO,30/01/2020,0,0,0,0
Norte,RO,31/01/2020,0,0,0,0
Norte,RO,01/02/2020,0,0,0,0
Norte,RO,02/02/2020,0,0,0,0
Norte,RO,03/02/2020,0,0,0,0
Norte,RO,04/02/2020,0,0,0,0
Norte,RO,05/02/2020,0,0,0,0
Norte,RO,06/02/2020,0,0,0,0
Norte,RO,07/02/2020,0,0,0,0
Norte,RO,08/02/2020,0,0,0,0
Norte,RO,09/02/2020,0,0,0,0
Norte,RO,10/02/2020,0,0,0,0
Norte,RO,11/02/2020,0,0,0,0
Norte,RO,12/02/2020,0,0,0,0
Norte,RO,13/02/2020,0,0,0,0
Norte,RO,14/02/2020,0,0,0,0
Norte,RO,15/02/2020,0,0,0,0
Norte,RO,16/02/2020,0,0,0,0
Norte,RO,17/02/2020,0,0,0,0
Norte,RO,18/02/2020,0,0,0,0
Norte,RO,19/02/2020,0,0,0,0
Norte,RO,20/02/2020,0,0,0,0
Norte,RO,21/02/2020,0,0,0,0
Norte,RO,22/02/2020,0,0,0,0
Norte,RO,23/02/2020,0,0,0,0
Norte,RO,24/02/2020,0,0,0,0
Norte,RO,25/02/2020,0,0,0,0
Norte,RO,26/02/2020,0,0,0,0
Norte,RO,27/02/2020,0,0,0,0
Norte,RO,28/02/2020,0,0,0,0
Norte,RO,29/02/2020,0,0,0,0
Norte,RO,01/03/2020,0,0,0,0
Norte,RO,02/03/2020,0,0,0,0
Norte,RO,03/03/2020,0,0,0,0
Norte,RO,04/03/2020,0,0,0,0
Norte,RO,05/03/2020,0,0,0,0
