data,país,confirmados,recuperados,fatalidades
2020-06-30,Afghanistan,31517.0,14131.0,746.0
2020-06-30,Albania,2535.0,1459.0,62.0
2020-06-30,Algeria,13907.0,9897.0,912.0
2020-06-30,Andorra,855.0,799.0,52.0
2020-06-30,Angola,284.0,93.0,13.0
2020-06-30,Antigua and Barbuda,69.0,22.0,3.0
2020-06-30,Argentina,64530.0,22028.0,1307.0
2020-06-30,Armenia,25542.0,14048.0,443.0
2020-06-30,Australia,108.0,105.0,3.0
2020-06-30,Australia,3203.0,2787.0,49.0
2020-06-30,Australia,29.0,29.0,0.0
2020-06-30,Australia,1067.0,1054.0,6.0
2020-06-30,Australia,443.0,436.0,4.0
2020-06-30,Australia,228.0,215.0,13.0
2020-06-30,Australia,2231.0,1816.0,20.0
2020-06-30,Australia,611.0,598.0,9.0
2020-06-30,Austria,17766.0,16478.0,705.0
2020-06-30,Azerbaijan,17524.0,9715.0,213.0
2020-06-30,Bahamas,104.0,87.0,11.0
2020-06-30,Bahrain,26758.0,21331.0,87.0
2020-06-30,Bangladesh,145483.0,59624.0,1847.0
2020-06-30,Barbados,97.0,90.0,7.0
2020-06-30,Belarus,62118.0,46054.0,392.0
2020-06-30,Belgium,61427.0,16984.0,9747.0
2020-06-30,Belize,24.0,18.0,2.0
2020-06-30,Benin,1199.0,333.0,21.0
2020-06-30,Bhutan,77.0,48.0,0.0
2020-06-30,Bolivia,33219.0,9340.0,1123.0
2020-06-30,Bosnia and Herzegovina,4453.0,2402.0,186.0
2020-06-30,Botswana,227.0,28.0,1.0
2020-06-30,Brazil,1402041.0,788318.0,59594.0
2020-06-30,Brunei,141.0,138.0,3.0
2020-06-30,Bulgaria,4989.0,2676.0,230.0
2020-06-30,Burkina Faso,962.0,838.0,53.0
2020-06-30,Burma,299.0,222.0,6.0
2020-06-30,Burundi,170.0,115.0,1.0
2020-06-30,Cabo Verde,1227.0,629.0,15.0
2020-06-30,Cambodia,141.0,130.0,0.0
2020-06-30,Cameroon,12592.0,10100.0,313.0
2020-06-30,Canada,8108.0,,154.0
2020-06-30,Canada,2916.0,,174.0
2020-06-30,Canada,0.0,,1.0
2020-06-30,Canada,13.0,,0.0
2020-06-30,Canada,325.0,,7.0
2020-06-30,Canada,165.0,,2.0
2020-06-30,Canada,261.0,,3.0
2020-06-30,Canada,5.0,,0.0
2020-06-30,Canada,1062.0,,63.0
2020-06-30,Canada,36961.0,,2730.0
2020-06-30,Canada,27.0,,0.0
2020-06-30,Canada,55458.0,,5503.0
2020-06-30,Canada,,69120.0,
2020-06-30,Canada,785.0,,13.0
2020-06-30,Canada,11.0,,0.0
2020-06-30,Central African Republic,3745.0,787.0,47.0
2020-06-30,Chad,866.0,781.0,74.0
2020-06-30,Chile,279393.0,241229.0,5688.0
2020-06-30,China,991.0,985.0,6.0
2020-06-30,China,922.0,587.0,9.0
2020-06-30,China,582.0,573.0,6.0
2020-06-30,China,363.0,359.0,1.0
2020-06-30,China,164.0,146.0,2.0
2020-06-30,China,1641.0,1627.0,8.0
2020-06-30,China,254.0,252.0,2.0
2020-06-30,China,147.0,145.0,2.0
2020-06-30,China,171.0,165.0,6.0
2020-06-30,China,349.0,334.0,6.0
2020-06-30,China,947.0,934.0,13.0
2020-06-30,China,1276.0,1254.0,22.0
2020-06-30,China,1205.0,1107.0,7.0
2020-06-30,China,68135.0,63623.0,4512.0
2020-06-30,China,1019.0,1015.0,4.0
2020-06-30,China,238.0,237.0,1.0
2020-06-30,China,654.0,654.0,0.0
2020-06-30,China,932.0,931.0,1.0
2020-06-30,China,155.0,153.0,2.0
2020-06-30,China,155.0,148.0,2.0
2020-06-30,China,46.0,45.0,0.0
2020-06-30,China,75.0,75.0,0.0
2020-06-30,China,18.0,18.0,0.0
2020-06-30,China,320.0,309.0,3.0
2020-06-30,China,792.0,785.0,7.0
2020-06-30,China,712.0,675.0,7.0
2020-06-30,China,198.0,198.0,0.0
2020-06-30,China,595.0,580.0,3.0
2020-06-30,China,198.0,194.0,3.0
2020-06-30,China,1.0,1.0,0.0
2020-06-30,China,76.0,73.0,3.0
2020-06-30,China,185.0,183.0,2.0
2020-06-30,China,1269.0,1267.0,1.0
2020-06-30,Colombia,95269.0,40021.0,3376.0
2020-06-30,Comoros,303.0,200.0,7.0
2020-06-30,Congo (Brazzaville),1087.0,456.0,37.0
2020-06-30,Congo (Kinshasa),7039.0,1426.0,170.0
2020-06-30,Costa Rica,3459.0,1436.0,16.0
2020-06-30,Cote d'Ivoire,9499.0,4273.0,68.0
2020-06-30,Croatia,2777.0,2155.0,107.0
2020-06-30,Cuba,2341.0,2214.0,86.0
2020-06-30,Cyprus,998.0,833.0,19.0
2020-06-30,Czechia,11954.0,7771.0,349.0
2020-06-30,Denmark,12768.0,11649.0,605.0
2020-06-30,Denmark,187.0,187.0,0.0
2020-06-30,Denmark,13.0,13.0,0.0
2020-06-30,Diamond Princess,712.0,651.0,13.0
2020-06-30,Djibouti,4682.0,4524.0,54.0
2020-06-30,Dominica,18.0,18.0,0.0
2020-06-30,Dominican Republic,32568.0,17580.0,747.0
2020-06-30,Ecuador,56432.0,27594.0,4527.0
2020-06-30,Egypt,68311.0,18460.0,2953.0
2020-06-30,El Salvador,6438.0,3770.0,174.0
2020-06-30,Equatorial Guinea,2001.0,515.0,32.0
