data,regiao,populacaoTCU2019,casosAcumulado,obitosAcumulado
2020-02-26,Brasil,210147125.0,1,0
2020-02-27,Brasil,210147125.0,1,0
2020-02-28,Brasil,210147125.0,1,0
2020-02-29,Brasil,210147125.0,2,0
2020-03-01,Brasil,210147125.0,2,0
2020-03-02,Brasil,210147125.0,2,0
2020-03-03,Brasil,210147125.0,2,0
2020-03-04,Brasil,210147125.0,3,0
2020-03-05,Brasil,210147125.0,7,0
2020-03-06,Brasil,210147125.0,13,0
2020-03-07,Brasil,210147125.0,19,0
2020-03-08,Brasil,210147125.0,25,0
2020-03-09,Brasil,210147125.0,25,0
2020-03-10,Brasil,210147125.0,34,0
2020-03-11,Brasil,210147125.0,52,0
2020-03-12,Brasil,210147125.0,77,0
2020-03-13,Brasil,210147125.0,98,0
2020-03-14,Brasil,210147125.0,121,0
2020-03-15,Brasil,210147125.0,200,0
2020-03-16,Brasil,210147125.0,234,0
2020-03-17,Brasil,210147125.0,291,1
2020-03-18,Brasil,210147125.0,428,4
2020-03-19,Brasil,210147125.0,621,6
2020-03-20,Brasil,210147125.0,904,11
2020-03-21,Brasil,210147125.0,1128,18
2020-03-22,Brasil,210147125.0,1546,25
2020-03-23,Brasil,210147125.0,1891,34
2020-03-24,Brasil,210147125.0,2201,46
2020-03-25,Brasil,210147125.0,2433,57
2020-03-26,Brasil,210147125.0,2915,77
2020-03-27,Brasil,210147125.0,3417,92
2020-03-28,Brasil,210147125.0,3903,114
2020-03-29,Brasil,210147125.0,4256,136
2020-03-30,Brasil,210147125.0,4579,159
2020-03-31,Brasil,210147125.0,5717,201
2020-04-01,Brasil,210147125.0,6834,241
2020-04-02,Brasil,210147125.0,7910,299
2020-04-03,Brasil,210147125.0,9056,359
2020-04-04,Brasil,210147125.0,10278,432
2020-04-05,Brasil,210147125.0,11130,486
2020-04-06,Brasil,210147125.0,12056,553
2020-04-07,Brasil,210147125.0,13717,667
2020-04-08,Brasil,210147125.0,15927,800
2020-04-09,Brasil,210147125.0,17857,941
2020-04-10,Brasil,210147125.0,19638,1056
2020-04-11,Brasil,210147125.0,20727,1124
2020-04-12,Brasil,210147125.0,22169,1223
2020-04-13,Brasil,210147125.0,23430,1328
2020-04-14,Brasil,210147125.0,25262,1532
2020-04-15,Brasil,210147125.0,28320,1736
2020-04-16,Brasil,210147125.0,30425,1924
2020-04-17,Brasil,210147125.0,33682,2141
2020-04-18,Brasil,210147125.0,36599,2347
2020-04-19,Brasil,210147125.0,38654,2462
2020-04-20,Brasil,210147125.0,40581,2575
2020-04-21,Brasil,210147125.0,43079,2741
2020-04-22,Brasil,210147125.0,45757,2906
2020-04-23,Brasil,210147125.0,49492,3313
2020-04-24,Brasil,210147125.0,52995,3670
2020-04-25,Brasil,210147125.0,58509,4016
2020-04-26,Brasil,210147125.0,61888,4205
2020-04-27,Brasil,210147125.0,66501,4543
2020-04-28,Brasil,210147125.0,71886,5017
2020-04-29,Brasil,210147125.0,78162,5466
2020-04-30,Brasil,210147125.0,85380,5901
2020-05-01,Brasil,210147125.0,91299,6329
2020-05-02,Brasil,210147125.0,96396,6724
2020-05-03,Brasil,210147125.0,101147,7025
2020-05-04,Brasil,210147125.0,107780,7321
2020-05-05,Brasil,210147125.0,114715,7921
2020-05-06,Brasil,210147125.0,125218,8535
2020-05-07,Brasil,210147125.0,135106,9146
2020-05-08,Brasil,210147125.0,145328,9897
2020-05-09,Brasil,210147125.0,155939,10627
2020-05-10,Brasil,210147125.0,162699,11123
2020-05-11,Brasil,210147125.0,168331,11519
2020-05-12,Brasil,210147125.0,177589,12400
